C-C,H-C,H-H,O-C,O-H,O-O
23,51,7,210,529,90
23,54,7,210,529,90
23,53,7,210,529,90
22,52,7,210,530,90
23,54,7,210,530,90
23,54,7,211,530,89
23,54,7,211,530,87
23,54,7,211,530,89
23,54,7,211,530,88
23,54,7,211,530,88
23,54,7,211,529,88
23,56,7,211,529,88
23,55,7,211,529,88
23,54,7,211,530,88
23,54,7,211,529,89
23,55,7,211,530,88
23,54,7,212,530,88
23,55,7,212,530,87
23,54,7,212,530,88
22,53,7,211,530,88
23,55,7,212,530,86
23,54,7,212,529,86
23,53,7,212,531,86
23,51,7,212,532,87
23,52,7,212,532,87
23,52,7,212,532,87
23,51,7,212,533,86
22,51,7,212,534,87
22,50,7,212,534,87
22,52,7,212,533,86
22,52,7,212,531,87
22,51,7,212,532,87
22,50,7,212,532,87
22,50,7,212,532,85
22,51,7,212,532,87
22,51,7,212,532,87
22,50,7,212,533,87
22,50,7,212,533,87
22,51,7,212,533,87
22,51,7,212,532,86
22,50,7,212,532,86
22,52,7,213,532,85
22,52,7,213,532,86
22,51,7,213,531,85
22,53,7,213,531,85
22,51,6,213,532,84
22,50,5,214,533,83
22,52,5,214,533,84
22,51,5,214,534,83
22,51,5,214,534,84
22,52,5,214,534,84
21,51,5,213,536,84
21,50,5,213,536,84
21,52,5,213,535,84
21,51,6,213,534,83
21,49,6,213,534,83
21,51,6,213,534,84
21,50,6,214,535,84
21,51,6,214,535,84
21,48,6,217,535,83
21,49,7,216,534,83
21,49,7,216,534,82
21,49,7,216,535,83
21,49,7,216,535,83
21,48,7,216,536,81
21,48,7,216,536,82
21,49,7,216,535,83
21,49,7,216,534,83
21,48,7,216,534,83
21,49,6,216,537,84
21,49,6,216,537,84
21,50,6,216,537,84
21,50,6,216,536,84
21,49,6,216,538,84
21,50,6,216,538,85
21,47,6,216,539,84
21,48,6,216,538,84
21,47,6,216,538,83
21,49,5,216,539,84
21,48,5,217,539,84
21,48,5,217,539,84
20,50,5,217,539,84
20,49,5,217,538,84
20,48,5,217,539,84
20,49,5,217,540,85
20,49,5,217,540,84
20,48,5,217,540,84
20,48,4,217,541,83
20,47,4,217,542,83
20,47,4,217,542,83
20,46,4,217,543,83
20,47,4,217,542,83
19,49,4,217,541,83
20,48,4,217,539,82
20,49,4,217,541,83
20,48,4,217,541,83
20,48,4,217,542,83
20,48,4,217,541,82
20,47,4,217,541,83
20,48,4,217,541,83
20,48,4,217,541,83
19,46,4,218,541,83
19,46,4,217,541,83
19,46,4,217,541,83
19,47,3,218,544,83
19,46,3,217,544,83
19,48,3,217,544,83
19,45,3,217,544,83
19,46,3,217,545,83
19,47,3,217,545,83
19,46,3,217,546,82
19,46,3,218,546,83
19,45,3,218,545,83
19,47,2,218,546,83
19,45,2,218,546,83
19,45,2,218,545,83
19,48,2,218,545,83
19,46,2,218,545,83
18,48,2,218,545,83
19,44,2,218,546,82
19,46,2,218,545,83
19,48,2,218,546,83
19,45,2,218,546,83
19,46,2,219,546,83
18,47,2,219,546,83
19,48,2,219,546,83
19,46,2,219,545,83
19,47,2,219,546,83
19,48,2,219,546,83
18,46,2,219,548,83
19,45,2,219,547,83
19,43,2,219,549,83
19,44,1,220,550,82
19,43,1,221,550,81
19,43,1,222,550,81
19,45,1,221,550,81
19,43,1,220,550,81
20,43,1,221,550,81
20,43,1,222,550,80
20,43,1,221,550,80
20,44,1,221,550,80
20,43,1,221,549,79
20,43,1,221,551,80
20,40,1,221,551,80
20,43,1,220,551,80
20,44,1,220,551,80
20,41,1,221,551,79
19,43,1,221,552,79
20,43,1,221,551,78
20,45,1,221,550,78
20,45,1,221,550,78
20,45,1,221,550,78
19,43,1,221,550,78
19,43,1,221,550,78
19,45,1,221,550,79
19,45,1,221,550,77
19,45,1,221,550,78
19,44,1,223,550,78
19,43,1,223,550,78
19,41,1,223,550,77
19,43,1,223,550,78
19,44,1,223,550,78
19,42,1,223,550,78
19,45,1,223,550,77
19,44,1,223,550,78
19,42,1,222,550,77
19,43,1,224,550,77
19,43,1,224,550,77
19,43,1,224,551,77
19,41,1,224,551,77
18,39,1,225,550,77
19,43,1,225,551,76
19,45,1,224,551,76
19,44,1,225,551,76
19,45,1,225,551,76
19,45,1,226,551,76
19,43,1,226,551,76
19,45,1,225,551,77
19,43,1,225,551,77
20,43,1,225,553,76
20,41,1,225,553,76
19,43,1,225,553,76
20,42,1,225,554,76
19,43,1,225,554,76
19,42,1,225,554,76
19,43,1,225,554,76
19,41,1,225,554,75
19,41,1,225,554,76
18,41,1,225,554,76
19,40,1,225,554,76
19,41,1,225,554,76
19,42,1,225,555,76
19,40,1,225,555,76
19,40,1,225,555,75
19,40,1,225,555,75
19,39,1,225,556,75
19,40,1,225,556,76
19,41,1,225,555,76
19,40,1,225,556,76
19,40,1,225,557,76
19,40,1,225,556,76
19,41,1,225,556,75
19,37,1,225,556,76
19,40,1,225,556,76
19,39,1,225,556,76
19,38,1,225,554,75
19,36,1,225,555,75
19,39,1,225,555,76
19,39,1,225,556,76
19,37,1,225,555,76
19,40,1,225,556,76
19,38,1,225,556,76
19,39,1,225,556,76
19,39,1,225,556,76
19,39,1,225,556,76
19,39,1,225,556,76
19,39,1,225,556,75
19,40,1,225,556,75
19,40,1,225,556,74
19,39,1,225,556,76
19,39,1,225,556,76
19,39,1,226,556,75
19,36,1,226,556,75
19,38,1,226,556,75
19,34,0,226,556,75
18,38,1,226,556,74
19,39,1,226,555,75
19,38,1,227,555,75
18,38,1,226,555,75
19,39,1,226,555,75
19,38,1,226,555,75
20,39,1,226,555,75
20,38,1,225,555,74
20,38,1,225,556,74
20,35,2,225,555,74
20,36,2,225,555,74
20,37,2,225,556,74
19,37,2,225,556,73
20,38,2,225,556,74
19,39,2,225,556,74
20,37,2,225,556,74
20,38,2,225,557,74
20,39,2,225,557,74
20,39,2,225,557,74
20,38,2,225,557,75
20,37,2,225,557,74
20,39,2,225,557,73
20,38,2,225,557,74
20,36,2,225,556,74
20,38,2,225,556,74
20,37,2,225,556,74
20,38,2,225,557,74
20,37,2,225,557,74
20,35,2,225,558,73
20,37,2,225,558,74
19,36,2,226,558,74
20,37,2,226,558,73
20,37,2,226,558,72
19,36,2,226,558,73
20,37,2,226,558,72
20,37,2,226,557,72
19,38,2,226,558,73
20,35,2,227,559,73
20,35,2,227,559,73
20,35,2,227,559,73
20,36,2,227,559,73
20,35,2,227,559,73
20,36,2,227,557,71
20,35,2,227,558,72
20,36,2,227,558,72
20,35,2,227,558,71
20,35,2,227,558,72
19,36,2,227,558,72
19,33,2,227,559,72
19,37,2,227,557,70
19,36,2,229,557,71
19,36,2,229,557,71
19,37,2,229,557,70
19,35,2,230,557,71
19,36,2,230,557,71
19,37,2,230,557,72
19,36,2,230,557,69
19,34,2,229,557,69
18,36,2,229,557,69
19,37,2,229,557,70
19,35,2,229,558,70
19,36,1,229,559,69
19,35,1,229,559,70
18,36,1,229,558,70
19,35,1,229,559,70
19,36,1,229,559,70
19,36,1,229,559,69
19,36,1,229,560,69
19,35,1,229,560,69
19,36,1,229,560,69
19,35,1,229,559,70
19,35,1,229,560,70
18,36,1,229,560,69
19,35,1,229,560,69
19,37,1,230,559,69
19,37,1,230,559,69
19,36,1,230,559,68
19,34,1,229,559,68
19,35,1,230,559,68
19,35,1,230,560,68
19,34,1,230,560,68
19,33,1,230,560,69
19,36,1,230,560,69
19,35,1,230,560,69
19,34,1,230,561,69
19,35,1,230,561,69
19,35,1,231,561,69
18,33,1,231,561,69
18,34,1,232,560,69
18,35,1,232,560,68
18,34,1,231,560,69
18,35,1,232,560,69
17,35,1,232,560,69
17,34,1,232,560,69
17,34,1,232,560,69
17,34,1,232,560,69
17,34,1,232,560,69
17,34,1,232,560,69
17,35,1,232,560,69
17,34,1,233,560,69
17,35,1,233,559,69
17,33,1,233,559,69
17,33,1,233,559,69
