C(0),C(1),C(2),C(3),C(4),H(0),H(1),O(0),O(1),O(2)
0,68,109,23,0,4,596,3,493,204
0,72,106,22,0,10,590,3,494,203
0,69,109,22,0,7,593,3,492,205
0,71,106,23,0,6,594,3,490,207
0,71,107,22,0,7,593,3,488,209
0,74,104,21,1,7,593,6,488,206
0,70,107,22,1,6,594,4,492,204
0,70,107,22,1,6,594,5,494,201
0,72,105,22,1,8,592,4,494,202
0,73,103,23,1,8,592,4,494,202
0,72,104,23,1,7,593,3,492,205
0,72,106,21,1,6,594,3,493,204
0,72,106,21,1,9,591,2,494,204
0,72,105,22,1,8,592,2,494,204
0,71,107,21,1,7,593,2,493,205
0,72,104,23,1,5,595,3,492,205
0,71,106,22,1,6,594,3,493,204
0,71,106,22,1,4,596,2,489,209
0,71,104,23,2,3,597,2,489,209
0,71,105,22,2,3,597,2,490,208
0,71,106,21,2,4,596,3,490,207
0,71,107,21,1,6,594,3,490,207
0,74,103,21,2,8,592,2,491,207
0,72,105,21,2,6,594,2,489,209
0,72,106,20,2,5,595,2,489,209
0,73,105,20,2,6,594,2,489,209
0,73,106,19,2,5,595,4,489,207
0,73,105,20,2,6,594,3,489,208
0,73,103,23,1,6,594,3,488,209
0,74,102,22,2,6,594,5,488,207
0,73,105,20,2,7,593,4,488,208
0,73,103,23,1,5,595,3,487,210
0,73,104,21,2,5,595,3,487,210
0,73,104,22,1,4,596,3,487,210
0,73,105,21,1,5,595,3,487,210
0,73,104,22,1,3,597,3,486,211
0,73,105,21,1,5,595,3,485,212
0,73,104,22,1,4,596,4,485,211
0,73,102,24,1,3,597,3,486,211
0,73,104,22,1,6,594,3,485,212
0,72,105,22,1,4,596,4,488,208
0,73,106,20,1,5,595,3,488,209
0,74,102,23,1,5,595,3,488,209
0,73,105,21,1,6,594,3,490,207
0,74,103,22,1,5,595,4,489,207
0,75,101,22,2,8,592,3,489,208
0,74,102,23,1,6,594,3,487,210
0,76,100,23,1,7,593,4,488,208
0,75,101,23,1,7,593,3,489,208
0,73,101,25,1,6,594,3,488,209
0,73,102,24,1,7,593,3,488,209
0,73,104,22,1,7,593,3,486,211
0,73,103,23,1,7,593,2,491,207
0,72,106,21,1,7,593,2,492,206
0,74,103,22,1,9,591,2,491,207
0,74,103,22,1,9,591,4,491,205
0,73,107,19,1,6,594,2,488,210
0,72,106,21,1,5,595,2,488,210
0,74,108,17,1,6,594,2,489,209
0,72,107,20,1,6,594,2,490,208
0,73,107,19,1,7,593,2,489,209
0,74,106,19,1,7,593,2,490,208
0,73,108,18,1,7,593,3,490,207
0,75,105,19,1,8,592,2,490,208
0,73,107,19,1,6,594,2,490,208
0,74,106,19,1,7,593,2,490,208
0,76,104,18,2,8,592,2,488,210
0,75,105,18,2,8,592,2,489,209
0,74,105,20,1,7,593,3,489,208
0,75,104,20,1,8,592,3,489,208
0,75,105,19,1,10,590,2,488,210
0,74,105,20,1,8,592,3,488,209
0,75,104,20,1,9,591,3,490,207
0,77,102,20,1,11,589,3,490,207
0,78,103,18,1,11,589,3,491,206
0,75,105,19,1,8,592,3,490,207
0,76,103,20,1,8,592,3,490,207
0,75,105,19,1,8,592,4,490,206
0,75,105,19,1,8,592,4,490,206
0,76,105,17,2,8,592,5,489,206
0,76,104,18,2,7,593,3,489,208
0,76,105,17,2,8,592,3,489,208
0,76,104,18,2,8,592,5,488,207
0,76,104,18,2,8,592,4,488,208
0,77,104,17,2,8,592,3,488,209
0,78,102,18,2,8,592,3,486,211
0,78,104,16,2,8,592,3,486,211
0,81,99,18,2,11,589,5,486,209
0,78,102,19,1,9,591,3,486,211
0,77,103,19,1,8,592,4,488,208
0,78,103,18,1,8,592,2,488,210
0,78,102,19,1,8,592,2,489,209
0,79,102,18,1,10,590,2,489,209
0,77,103,19,1,7,593,4,489,207
0,79,101,19,1,7,593,3,487,210
0,79,102,18,1,9,591,4,488,208
0,81,99,19,1,8,592,3,488,209
0,84,96,19,1,9,591,3,488,209
0,82,98,19,1,6,594,2,489,209
0,82,100,17,1,7,593,4,486,210
0,83,98,18,1,7,593,3,488,209
0,83,98,17,2,7,593,3,489,208
0,82,99,18,1,6,594,3,488,209
0,86,96,17,1,12,588,3,489,208
0,83,98,18,1,8,592,3,489,208
0,83,98,18,1,7,593,3,488,209
0,85,97,17,1,10,590,3,488,209
0,83,99,18,0,7,593,3,486,211
0,83,98,19,0,6,594,3,486,211
0,81,102,17,0,5,595,4,485,211
0,81,104,15,0,7,593,3,485,212
0,81,100,19,0,5,595,3,485,212
0,82,101,17,0,8,592,3,487,210
0,82,98,20,0,6,594,4,486,210
0,81,100,19,0,6,594,4,484,212
0,81,99,20,0,6,594,5,485,210
0,82,99,19,0,10,590,5,485,210
0,81,100,19,0,6,594,5,486,209
0,80,101,19,0,5,595,5,486,209
0,80,101,19,0,5,595,6,486,208
0,81,101,18,0,5,595,4,484,212
0,81,100,19,0,5,595,5,485,210
0,83,99,18,0,5,595,4,484,212
0,82,101,17,0,4,596,5,485,210
0,82,100,18,0,6,594,4,484,212
0,83,98,19,0,3,597,4,481,215
0,83,99,18,0,4,596,5,481,214
0,83,98,19,0,3,597,5,481,214
0,84,97,19,0,4,596,5,481,214
0,83,97,20,0,3,597,5,480,215
0,86,95,19,0,5,595,5,478,217
0,85,96,19,0,3,597,5,477,218
0,85,96,19,0,3,597,4,477,219
0,85,96,19,0,5,595,5,479,216
0,85,96,19,0,5,595,4,477,219
0,86,96,18,0,6,594,4,480,216
0,85,97,18,0,5,595,4,478,218
0,87,96,17,0,8,592,6,478,216
0,86,96,18,0,6,594,6,478,216
0,86,97,17,0,6,594,5,479,216
0,86,97,17,0,8,592,5,477,218
0,87,96,17,0,5,595,6,475,219
0,87,96,17,0,5,595,6,477,217
0,86,96,18,0,5,595,6,477,217
0,87,94,19,0,7,593,6,479,215
0,85,95,20,0,3,597,5,478,217
0,87,94,19,0,5,595,4,479,217
0,86,98,16,0,6,594,4,478,218
0,85,96,19,0,3,597,4,479,217
0,86,96,18,0,4,596,4,480,216
0,87,94,19,0,5,595,6,479,215
0,86,95,19,0,4,596,5,479,216
0,85,95,20,0,3,597,4,478,218
0,86,94,20,0,4,596,4,478,218
0,86,94,20,0,4,596,5,478,217
0,86,94,20,0,4,596,4,478,218
0,86,94,20,0,6,594,4,478,218
0,85,95,19,1,4,596,4,478,218
0,87,92,20,1,7,593,4,480,216
0,87,92,21,0,4,596,4,476,220
0,86,93,20,1,2,598,6,476,218
0,85,95,19,1,3,597,6,477,217
0,85,95,19,1,3,597,4,477,219
0,85,94,20,1,3,597,4,478,218
0,87,93,20,0,3,597,4,478,218
0,87,93,19,1,4,596,4,478,218
0,86,94,19,1,4,596,4,477,219
0,86,95,18,1,4,596,4,476,220
0,88,93,18,1,5,595,4,477,219
0,89,92,18,1,6,594,4,477,219
0,86,95,18,1,3,597,4,477,219
0,88,94,17,1,3,597,5,476,219
0,89,93,17,1,4,596,5,476,219
0,89,92,17,2,4,596,5,472,223
0,89,91,18,2,5,595,6,474,220
0,88,93,18,1,3,597,6,473,221
0,88,93,18,1,2,598,5,474,221
0,88,92,19,1,2,598,4,475,221
0,90,91,18,1,5,595,4,475,221
0,88,93,18,1,3,597,4,475,221
0,90,92,17,1,4,596,5,477,218
0,93,90,16,1,7,593,4,478,218
0,93,89,17,1,4,596,4,478,218
0,92,90,17,1,3,597,5,478,217
0,93,90,16,1,5,595,5,478,217
0,93,89,17,1,4,596,4,478,218
0,93,89,17,1,3,597,5,477,218
0,93,89,17,1,3,597,3,477,220
0,94,89,16,1,4,596,4,478,218
0,93,89,17,1,3,597,3,477,220
0,94,88,18,0,5,595,3,477,220
0,94,89,16,1,4,596,3,478,219
0,93,89,17,1,3,597,3,477,220
0,93,89,17,1,5,595,4,477,219
0,93,89,17,1,3,597,4,477,219
0,96,86,18,0,5,595,3,477,220
0,93,89,17,1,5,595,3,477,220
0,92,89,18,1,3,597,3,477,220
0,92,89,18,1,3,597,3,477,220
0,92,89,19,0,4,596,4,477,219
0,93,88,18,1,4,596,4,477,219
0,92,89,18,1,3,597,4,477,219
0,93,90,16,1,5,595,5,476,219
0,93,89,18,0,6,594,4,475,221
0,92,90,17,1,4,596,4,475,221
0,92,89,18,1,3,597,5,475,220
0,92,89,18,1,3,597,4,475,221
0,93,87,19,1,4,596,5,474,221
0,93,88,19,0,3,597,3,475,222
0,94,87,18,1,4,596,3,474,223
0,92,89,18,1,3,597,3,475,222
0,94,87,18,1,5,595,3,475,222
0,93,88,18,1,4,596,3,475,222
0,93,89,17,1,6,594,3,474,223
0,92,89,18,1,5,595,3,475,222
0,92,90,17,1,7,593,3,476,221
0,92,89,18,1,6,594,3,476,221
0,93,89,17,1,8,592,3,476,221
0,92,88,19,1,5,595,3,476,221
0,92,88,19,1,4,596,4,475,221
0,94,89,16,1,7,593,3,475,222
0,94,90,14,2,6,594,3,474,223
0,93,89,16,2,5,595,3,474,223
0,93,90,15,2,6,594,3,474,223
0,93,91,14,2,7,593,3,474,223
0,93,89,16,2,4,596,3,473,224
0,95,88,16,1,5,595,3,472,225
0,93,90,16,1,5,595,3,474,223
0,93,90,15,2,3,597,3,475,222
0,94,89,15,2,3,597,3,474,223
0,95,87,17,1,3,597,3,473,224
0,94,88,16,2,3,597,2,473,225
0,94,88,16,2,3,597,2,473,225
0,94,89,15,2,4,596,2,473,225
0,94,88,16,2,2,598,3,472,225
0,96,87,15,2,4,596,3,473,224
0,95,88,16,1,2,598,2,473,225
0,95,88,16,1,2,598,2,473,225
0,96,87,16,1,3,597,4,473,223
0,95,88,16,1,3,597,3,476,221
