Frame,C-0,C-1,C-2,C-3,C-4,Fe-0,Fe-1,Fe-2,Fe-3,Fe-4,Fe-5,Fe-6,H-0,H-1,O-0,O-1,O-2
323,0,53,323,2865,359,239,161,190,292,81,105,84,7,4025,0,749,1795
324,0,53,324,2866,357,237,158,200,281,86,111,79,8,4024,0,747,1797
325,0,53,321,2869,357,235,161,196,286,82,112,80,10,4022,0,747,1797
326,0,53,323,2867,357,239,156,200,282,82,114,79,7,4025,0,743,1801
327,0,53,324,2862,361,237,160,203,280,74,115,83,6,4026,0,748,1796
328,0,53,325,2862,360,240,160,196,285,71,120,80,4,4028,0,744,1800
329,0,54,324,2863,359,237,165,198,279,72,120,81,4,4028,0,743,1801
330,0,53,323,2866,358,240,162,197,279,76,117,81,5,4027,0,744,1800
331,0,53,323,2867,357,239,158,203,282,77,105,88,7,4025,0,744,1800
332,0,53,319,2874,354,240,148,213,280,78,112,81,7,4025,0,746,1798
333,0,53,318,2877,352,239,156,209,272,77,119,80,6,4026,0,745,1799
334,0,53,313,2880,354,231,174,201,266,86,111,83,10,4022,0,746,1798
335,0,53,316,2882,349,238,165,191,286,77,109,86,9,4023,0,746,1798
336,0,53,316,2877,354,238,163,187,296,76,109,83,7,4025,0,747,1797
337,0,53,316,2874,357,244,148,210,278,77,110,85,6,4026,0,747,1797
338,0,54,314,2881,351,238,154,203,287,78,114,78,5,4027,0,745,1799
339,0,55,316,2876,353,238,155,203,292,72,104,88,5,4027,0,741,1803
340,0,56,317,2870,357,235,163,206,273,81,115,79,6,4026,0,743,1801
341,0,56,317,2861,366,241,156,196,290,77,108,84,4,4028,0,743,1801
342,0,56,319,2865,360,232,159,203,293,75,106,84,6,4026,0,745,1799
343,0,56,320,2858,366,244,147,206,286,82,104,83,4,4028,0,747,1797
344,0,56,319,2859,366,241,159,203,276,81,105,87,5,4027,0,746,1798
345,0,56,319,2864,361,235,164,213,266,75,116,83,7,4025,0,745,1799
